conversation_id,n_rows,n_text_qc_flagged,starter,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_690515b8a99081938e4f866db2694e030c3bf59def78e49b,5,0,author_1,berlin,False,False
conv_690515e65e648194894a025639772a38097c5c5c8665df91,5,0,author_1,berlin,False,False
conv_690517dcfe7c81908499850fb8be294b09bcbe261cf6164f,5,0,author_1,berlin,False,False
conv_6905190de2dc8194933d452feb663f7f01cd481dfdfc0fcc,1,0,author_1,berlin,False,False
conv_6905195044508195be1f5a719bb7e18206a95c1fbab8b75b,5,0,author_1,berlin,False,False
conv_690519bdb29c81938d80f73cac565e8500e9a9011c9a07e2,3,0,author_1,berlin,False,False
conv_690519c72b088194b401b957c2069c3c0458ab45613287bb,5,0,author_1,berlin,False,False
conv_69051a825dc08194afa533a89ec974110ac68988ff6d6159,5,0,author_1,berlin,False,False
conv_69051ac59e8c819482eea0f410447b52090526ee24447cd1,5,0,author_1,berlin,False,False
conv_69051bf4b7048190a878c3e964a3201907d670bab588430b,1,1,author_1,berlin,True,True
conv_69051c13cf60819396190282f49a3b4602cb64731fd33f66,5,0,author_1,berlin,False,False
conv_69051c20b2548194aa8454d93807d0970c7fcf4a19002287,1,1,author_1,berlin,True,True
conv_69051cb4040081968bd473c9a0f71fbe007f34311f92fce0,5,0,author_1,berlin,False,False
conv_69051e020f0c81958ec5bd715ef72bb30ce15708d49ba428,1,0,author_1,berlin,False,False
conv_69051e446ba88194945f31c426b2af12047b842a5f2e87dd,1,0,author_1,berlin,False,False
conv_69051e71dc1c8190800171657a4e2e7b08dc410bb2ef4244,5,0,author_1,berlin,False,False
conv_6905200b7b8c8197b8d39df0c05ae9750422a7bf038670cf,5,0,author_1,berlin,False,False
conv_6905207596fc8194ace37c498f5e197b044e963908c22d27,2,0,author_1,berlin,False,False
conv_6905214fd69881968484e003ec63de2509008de3c81af6c1,5,0,author_1,berlin,False,False
conv_690521e305ac81908710818d5cf138410d3b760cce835efa,5,0,author_1,berlin,False,False
conv_690522ac479c81938bad6584a5768f3d0f8906e60b0501e4,4,0,author_1,berlin,False,False
