conversation_id,n_rows,n_text_qc_flagged,starter,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_69076ae1ee5881948a2d4f42dc1b6f5d092678b388e84b44,5,0,author_1,berlin,False,False
conv_69076c1e5ae48195b8d34eb8844905ea0ce8d6d4877b2efe,1,0,author_1,berlin,False,False
conv_69076cb03dd481939d492b278aafc10209069dbf3337da0f,5,0,author_1,berlin,False,False
conv_69076dacfb30819592bb06422267dd900ca0023864162e43,2,0,author_1,berlin,False,False
conv_69076e06c67c8190aba1b81ad79d0934001cacdd99164759,1,0,author_1,berlin,False,False
conv_69076e1f966c8195a8d567061cb1adb404f0aaf547e8eb82,4,0,author_1,berlin,False,False
conv_69076f8b038c819593b7b88baa500c9904c7676e41a6dbbe,1,0,author_1,berlin,False,False
conv_6907701b2c4881909156b347b5fb2b7e078c76bc699fd454,5,0,author_1,berlin,False,False
conv_690770493a548196836b47b11f079b270b7124c627956687,5,0,author_1,berlin,False,False
conv_690771ac275481959d2c5538da13c3c2092dbe3a7106922b,5,0,author_1,berlin,False,False
conv_690771b0761c8193adbb44ed8f4811f30889eb168d8785c7,1,0,author_1,berlin,False,False
conv_6907737659348195bfd19ed47b09e91e0eae27c71dd78e86,5,0,author_1,berlin,False,False
conv_690774185d048196abf58520c238f3110c2477668791c75d,5,0,author_1,berlin,False,False
conv_690774f393688197a2dd48570e262cd50f16cfa0cadd6b0e,5,0,author_1,berlin,False,False
conv_690776b553c88195a34e8640296305570ad00543ef007293,4,0,author_1,berlin,False,False
conv_6907780b12a88197b4bcbd9004e478120390aff3fa071fbc,5,0,author_1,berlin,False,False
conv_6907789380088190ad46117e3997be5b0a7d381fa5cfeea0,5,0,author_1,berlin,False,False
conv_69077aec11988194aee007e6d6e658e1046183cc30a90839,5,0,author_1,berlin,False,False
conv_69077be0daec8195bb918e6866f7d38a0b48b407f6e0bdd0,5,0,author_1,berlin,False,False
conv_69077cb08a9081938e10539579639b400d31215f3c81724a,5,0,author_1,berlin,False,False
conv_69077e59cdf08195957319ff7ca1f9db0ddc7628606d26df,4,0,author_1,berlin,False,False
conv_69077ff3df7c819684bbbbe65e484fe909edc919dab6efc8,1,0,author_1,berlin,False,False
conv_69078177471c8193a7ab356754a7efdd0845c58f28ac9368,5,0,author_1,berlin,False,False
conv_6907846bd0448195af80dcfe551ade8304416275f412ec87,5,0,author_1,berlin,False,False
conv_690786576c608196abbbfe9b638ad2070fddf508eb51be2c,1,0,author_1,berlin,False,False
conv_6907875837a8819699c23ae30db9af290003a55dbe4aaca6,5,0,author_1,berlin,False,False
conv_690788b14870819381644fa048ea252903b547aad7c8b934,5,0,author_1,berlin,False,False
conv_690788cfe4ac8194ab354b9af42258ea04e68b6d520dbb5f,3,0,author_1,berlin,False,False
conv_69078a0166f48190a1be3356ac52e52c0416fdfa9a96c0b6,5,0,author_1,berlin,False,False
conv_69078a729c18819698bd41340913a0d701ba4045c5e90149,5,0,author_1,berlin,False,False
conv_69078d5e82cc819796d22f3c0b13c76a0fc3524c4109d6fb,1,0,author_1,berlin,False,False
conv_69078ea409d48190a2af498623e5b17d060b1dc4f2bb3c21,3,0,author_1,berlin,False,False
conv_69079948404881978bae7647f988f1a608441f8009841233,4,0,author_1,berlin,False,False
conv_6907a8487c348195bb8533a416f816860f82e6656728fc14,3,0,author_1,berlin,False,False
conv_6907b0e697648195903cff2f1d6046f50e99a511ae3ba965,5,0,author_1,berlin,False,False
conv_6907b2af322881978feaed33e188305a0e8ad8734b882b98,4,0,author_1,berlin,False,False
conv_6907b36e4d1881979a51325cd45299860cc09d3c40a9380c,5,0,author_1,berlin,False,False
conv_6907b5665c588193a0e78850b23a0f4d0db1cb8e4bfae4b3,1,0,author_1,berlin,False,False
